solver_iters,substeps,servo_pos_passes,servo_pos_stride,anchor_early_out,anchor_err,anchor_speed,wall_ms,step_ms,solve_servo_ms,solve_joint_pos_servo_ms,get_servo_angle_ms,peak_linear_settled,peak_angular,peak_joint_error,final_y,final_speed,max_roll_deg,max_pitch_deg,max_joint_speed
40,2,8,1,0,0.000000,0.000000,11074.879,11061.067,9935.481,44.341,7.762,0.059100,0.239738,0.070530,0.135708,0.031646,3.237673,0.342792,0.398232
40,2,8,1,1,0.000100,0.020000,10139.055,10126.345,9141.821,40.417,7.117,0.059034,0.240199,0.068966,0.135518,0.042168,3.298248,0.634338,0.397987
40,2,8,1,1,0.000250,0.030000,10768.443,10755.552,9744.630,40.557,7.308,0.054789,0.202240,0.092925,0.134775,0.043057,3.217181,1.370098,0.404463
40,2,8,1,1,0.000500,0.050000,11187.121,11174.158,10149.363,40.366,7.307,0.084700,0.191695,0.124403,0.122225,0.076191,1.094538,0.180704,0.717411
40,2,8,2,1,0.000100,0.020000,9896.140,9883.338,8858.850,20.350,7.368,0.052391,0.203762,0.058355,0.134375,0.028687,3.101320,0.849195,0.383145
40,2,8,3,1,0.000100,0.020000,9636.071,9623.175,8610.047,14.135,7.405,0.043346,0.189795,0.055803,0.133090,0.034556,3.178480,1.232010,0.397988
